"Year","Date","Primary.Type","Location.Description","DISTRICT","Latitude","Longitude","Location","near_bar","near_bar_name","bar_lat","bar_lng","DISTRICT.NAME","distance_range","time","time_cate"
2023,"09/19/2023 11:00:00 PM","BATTERY","SIDEWALK","2",41.803181616,-87.585432024,"(41.803181616, -87.585432024)",378.14022727606,"CHECKER BOARD LOUNGE",41.801062202,-87.588992884,"Wentworth","300~400",2024-04-22 23:00:00,"nighttime"
2023,"08/21/2023 01:02:00 AM","CRIMINAL DAMAGE","STREET","1",41.86984192,-87.632781486,"(41.86984192, -87.632781486)",339.442502300735,"HALF SOUR",41.872361366,-87.630467205,"Central","300~400",2024-04-22 01:02:00,"nighttime"
2023,"08/21/2023 10:20:00 PM","BATTERY","STREET","5",41.673763579,-87.639359094,"(41.673763579, -87.639359094)",283.405844229717,"THE SPOT SOCIAL HOUR",41.671818178,-87.641561374,"Calumet","200~300",2024-04-22 22:20:00,"nighttime"
2023,"09/19/2023 04:21:00 AM","HOMICIDE","ALLEY","4",41.707666202,-87.532869851,"(41.707666202, -87.532869851)",305.324457268195,"IMPORT TAP INC",41.705506482,-87.535139453,"South Chicago","300~400",2024-04-22 04:21:00,"nighttime"
2023,"09/20/2023 12:00:00 AM","CRIMINAL DAMAGE","STREET","3",41.775796226,-87.615515573,"(41.775796226, -87.615515573)",423.435622555952,"MICHELE'S LOUNGE",41.779608393,-87.615463462,"Grand Crossing","400~500",2024-04-22,"nighttime"
2023,"09/19/2023 12:30:00 PM","BATTERY","SIDEWALK","1",41.869548706,-87.627472051,"(41.869548706, -87.627472051)",21.403166547099,"TANTRUM",41.869391114,-87.627323688,"Central","20~40",2024-04-22 12:30:00,"daytime"
2023,"09/19/2023 02:41:00 PM","CRIMINAL DAMAGE","STREET","5",41.698042407,-87.624026535,"(41.698042407, -87.624026535)",280.393891643889,"MY FRIEND'S PLACE",41.697597206,-87.620710891,"Calumet","200~300",2024-04-22 14:41:00,"daytime"
2023,"09/19/2023 04:30:00 PM","ASSAULT","STREET","4",41.733652373,-87.557720731,"(41.733652373, -87.557720731)",623.707339120631,"NORMAS PLACE",41.728071017,-87.556894801,"South Chicago","500~1000",2024-04-22 16:30:00,"daytime"
2023,"09/19/2023 05:27:00 AM","ROBBERY","STREET","3",41.764404193,-87.562903666,"(41.764404193, -87.562903666)",139.272524533607,"TROPICAL DEN",41.764325373,-87.564575194,"Grand Crossing","100~200",2024-04-22 05:27:00,"nighttime"
2023,"09/19/2023 07:40:00 PM","BATTERY","SIDEWALK","3",41.779827581,-87.605916085,"(41.779827581, -87.605916085)",478.102370540779,"INFLATION LOUNGE",41.780201228,-87.611645259,"Grand Crossing","400~500",2024-04-22 19:40:00,"nighttime"
2023,"09/19/2023 01:20:00 PM","BATTERY","STREET","3",41.781646505,-87.613235784,"(41.781646505, -87.613235784)",163.892656627859,"KOZY KORNER",41.780171051,-87.613262818,"Grand Crossing","100~200",2024-04-22 13:20:00,"daytime"
2023,"08/21/2023 08:29:00 PM","ASSAULT","STREET","3",41.785268355,-87.614452924,"(41.785268355, -87.614452924)",171.692851433966,"HANK'S LOUNGE",41.783786097,-87.615039089,"Grand Crossing","100~200",2024-04-22 20:29:00,"nighttime"
2023,"09/19/2023 05:03:00 PM","ASSAULT","SIDEWALK","4",41.749303503,-87.5783767,"(41.749303503, -87.5783767)",610.674328812967,"NEW CELEBRITY LOUNGE INC",41.744456862,-87.574910022,"South Chicago","500~1000",2024-04-22 17:03:00,"daytime"
2023,"09/19/2023 09:00:00 PM","CRIMINAL DAMAGE","STREET","4",41.717005593,-87.536493665,"(41.717005593, -87.536493665)",110.251280077228,"SPIKE'S LAKESIDE INN",41.717595115,-87.535427741,"South Chicago","100~200",2024-04-22 21:00:00,"nighttime"
2023,"09/19/2023 11:45:00 AM","BATTERY","STREET","1",41.884176196,-87.626242423,"(41.884176196, -87.626242423)",165.526000129301,"BAR MILLENIUM",41.884540111,-87.624308522,"Central","100~200",2024-04-22 11:45:00,"daytime"
2023,"09/19/2023 07:49:00 PM","BATTERY","STREET","4",41.713481427,-87.567914513,"(41.713481427, -87.567914513)",669.593612664013,"THE ODYSSEY LOUNGE EAST",41.714038302,-87.559902945,"South Chicago","500~1000",2024-04-22 19:49:00,"nighttime"
2023,"09/19/2023 05:45:00 PM","BATTERY","STREET","5",41.682356331,-87.646247961,"(41.682356331, -87.646247961)",499.795849507884,"MOUND TOWN LOUNGE & LIQUORS",41.677870831,-87.645767376,"Calumet","400~500",2024-04-22 17:45:00,"daytime"
2023,"09/19/2023 07:00:00 PM","CRIMINAL DAMAGE","STREET","1",41.861760576,-87.620814019,"(41.861760576, -87.620814019)",294.383587002904,"VICE DISTRICT TAPROOM",41.862573237,-87.62418878,"Central","200~300",2024-04-22 19:00:00,"nighttime"
2023,"09/19/2023 06:00:00 PM","CRIMINAL DAMAGE","STREET","1",41.861716671,-87.620814506,"(41.861716671, -87.620814506)",295.87702620338,"VICE DISTRICT TAPROOM",41.862573237,-87.62418878,"Central","200~300",2024-04-22 18:00:00,"daytime"
2023,"08/21/2023 03:00:00 AM","CRIMINAL DAMAGE","STREET","2",41.796660835,-87.59342558,"(41.796660835, -87.59342558)",329.17483165614,"THE WOODLAWN TAP",41.795173028,-87.59685084,"Wentworth","300~400",2024-04-22 03:00:00,"nighttime"
